video_id,notflip_frames,flip_frames,mean_full_l1_distance,mean_full_l1_rank_notflip_to_flip,mean_full_l1_pct_notflip_to_flip,mean_full_l1_rank_flip_to_notflip,mean_full_l1_pct_flip_to_notflip,median_full_l1_distance,median_full_l1_rank_notflip_to_flip,median_full_l1_pct_notflip_to_flip,median_full_l1_rank_flip_to_notflip,median_full_l1_pct_flip_to_notflip,border_l1_distance,border_l1_rank_notflip_to_flip,border_l1_pct_notflip_to_flip,border_l1_rank_flip_to_notflip,border_l1_pct_flip_to_notflip,center_l1_distance,center_l1_rank_notflip_to_flip,center_l1_pct_notflip_to_flip,center_l1_rank_flip_to_notflip,center_l1_pct_flip_to_notflip,color_hist_cosine_distance,color_hist_cosine_rank_notflip_to_flip,color_hist_cosine_pct_notflip_to_flip,color_hist_cosine_rank_flip_to_notflip,color_hist_cosine_pct_flip_to_notflip,composite_mean_percentile,composite_median_percentile
0037,30,26,0.06591132283210754,8.0,0.109375,9.0,0.1568627450980392,0.07594018429517746,10.0,0.140625,9.0,0.1568627450980392,0.06581447273492813,8.0,0.109375,9.0,0.1568627450980392,0.06606242805719376,9.0,0.125,8.0,0.13725490196078433,0.022554636001586914,4.0,0.046875,6.0,0.09803921568627451,0.12371323529411767,0.13112745098039216
0038,30,46,0.06525293737649918,10.0,0.140625,7.0,0.11764705882352941,0.06913281232118607,10.0,0.140625,7.0,0.11764705882352941,0.05508905276656151,10.0,0.140625,7.0,0.11764705882352941,0.08110859245061874,12.0,0.171875,6.0,0.09803921568627451,0.030889034271240234,7.0,0.09375,4.0,0.058823529411764705,0.11973039215686276,0.11764705882352941
0039,30,21,0.08711454272270203,7.0,0.09375,13.0,0.23529411764705882,0.1058092713356018,10.0,0.140625,16.0,0.29411764705882354,0.07617032527923584,10.0,0.140625,10.0,0.17647058823529413,0.10418753325939178,4.0,0.046875,21.0,0.39215686274509803,0.03526484966278076,3.0,0.03125,11.0,0.19607843137254902,0.17472426470588237,0.15854779411764708
0040,30,25,0.06153430417180061,10.0,0.140625,5.0,0.0784313725490196,0.05791525915265083,7.0,0.09375,4.0,0.058823529411764705,0.0501004159450531,8.0,0.109375,5.0,0.0784313725490196,0.07937116920948029,12.0,0.171875,5.0,0.0784313725490196,0.062484681606292725,15.0,0.21875,14.0,0.2549019607843137,0.12833946078431374,0.1015625
0041,37,20,0.16815043985843658,39.0,0.59375,48.0,0.9215686274509803,0.17438645660877228,42.0,0.640625,51.0,0.9803921568627451,0.18323734402656555,39.0,0.59375,50.0,0.9607843137254902,0.14461487531661987,43.0,0.65625,48.0,0.9215686274509803,0.4250408411026001,63.0,0.96875,52.0,1.0,0.8237438725490197,0.9215686274509803
0042,30,30,0.14988842606544495,34.0,0.515625,36.0,0.6862745098039216,0.1498907059431076,33.0,0.5,34.0,0.6470588235294118,0.1725618690252304,40.0,0.609375,37.0,0.7058823529411765,0.11451784521341324,20.0,0.296875,33.0,0.6274509803921569,0.17845654487609863,38.0,0.578125,45.0,0.8627450980392157,0.6029411764705882,0.6184129901960784
0043,30,10,0.14351284503936768,41.0,0.625,26.0,0.49019607843137253,0.153606578707695,39.0,0.59375,26.0,0.49019607843137253,0.1631929576396942,52.0,0.796875,25.0,0.47058823529411764,0.1128118634223938,32.0,0.484375,27.0,0.5098039215686274,0.1380978226661682,27.0,0.40625,32.0,0.6078431372549019,0.5474877450980392,0.5
0044,30,27,0.15180128812789917,38.0,0.578125,37.0,0.7058823529411765,0.15371380746364594,35.0,0.53125,33.0,0.6274509803921569,0.1755296140909195,51.0,0.78125,38.0,0.7254901960784313,0.1147850826382637,23.0,0.34375,32.0,0.6078431372549019,0.15129178762435913,41.0,0.625,30.0,0.5686274509803921,0.6094669117647059,0.616421568627451
0045,30,24,0.14747093617916107,41.0,0.625,28.0,0.5294117647058824,0.15332716703414917,36.0,0.546875,31.0,0.5882352941176471,0.1760753095149994,55.0,0.84375,32.0,0.6078431372549019,0.10284814983606339,24.0,0.359375,25.0,0.47058823529411764,0.12101703882217407,24.0,0.359375,22.0,0.4117647058823529,0.5342218137254903,0.5381433823529411
0046,30,22,0.15978018939495087,44.0,0.671875,33.0,0.6274509803921569,0.15589463710784912,41.0,0.625,27.0,0.5098039215686274,0.1799406111240387,56.0,0.859375,32.0,0.6078431372549019,0.12832994759082794,33.0,0.5,38.0,0.7254901960784313,0.14597100019454956,36.0,0.546875,33.0,0.6274509803921569,0.6301164215686275,0.6262254901960784
